person_name,best_dist,best_loss
ppldb_rahela_7,0.28078293800354004,0.28078317642211914
person_name,best_dist,best_loss
ppldb_rahela_6,0.27911943197250366,0.27911990880966187
person_name,best_dist,best_loss
ppldb_rahela_1,0.2852483093738556,0.28524863719940186
person_name,best_dist,best_loss
ppldb_rahela_4,0.3227771520614624,0.3227772116661072
person_name,best_dist,best_loss
ppldb_rahela_5,0.30143532156944275,0.3014354407787323
person_name,best_dist,best_loss
ppldb_rahela_8,0.23499441146850586,0.23499459028244019
person_name,best_dist,best_loss
ppldb_rahela_2,0.28542837500572205,0.28542858362197876
person_name,best_dist,best_loss
ppldb_rahela_3,0.2742440104484558,0.2742442190647125
