person_name,best_dist,best_loss
ppldb_klara_3,0.2547271251678467,0.254727303981781
person_name,best_dist,best_loss
ppldb_klara_11,0.26006394624710083,0.26006418466567993
person_name,best_dist,best_loss
ppldb_klara_2,0.25992241501808167,0.2599227726459503
person_name,best_dist,best_loss
ppldb_klara_7,0.216645285487175,0.21664555370807648
person_name,best_dist,best_loss
ppldb_klara_9,0.2601151764392853,0.26011526584625244
person_name,best_dist,best_loss
ppldb_klara_4,0.22504815459251404,0.22504836320877075
person_name,best_dist,best_loss
ppldb_klara_8,0.2610292136669159,0.2610294222831726
person_name,best_dist,best_loss
ppldb_klara_1,0.298647403717041,0.2986474931240082
person_name,best_dist,best_loss
ppldb_klara_10,0.21407878398895264,0.21407902240753174
person_name,best_dist,best_loss
ppldb_klara_12,0.2564868628978729,0.2564869523048401
person_name,best_dist,best_loss
ppldb_klara_6,0.26223668456077576,0.26223698258399963
person_name,best_dist,best_loss
ppldb_klara_5,0.22627249360084534,0.22627274692058563
