person_name,best_dist,best_loss
ppldb_stef_18,0.24726137518882751,0.2472616285085678
ppldb_stef_3,0.15682534873485565,0.15682554244995117
ppldb_stef_2,0.30969369411468506,0.309693843126297
ppldb_stef_7,0.3306736350059509,0.3306739330291748
ppldb_stef_12,0.13154888153076172,0.13154901564121246
ppldb_stef_5,0.24953049421310425,0.2495305836200714
ppldb_stef_14,0.1561305820941925,0.15613067150115967
ppldb_stef_13,0.20346209406852722,0.20346234738826752
ppldb_stef_6,0.2900501489639282,0.2900502383708954
ppldb_stef_24,0.11468658596277237,0.11468665301799774
ppldb_stef_8,0.2839188575744629,0.2839190661907196
ppldb_stef_9,0.26315492391586304,0.2631552517414093
ppldb_stef_21,0.22986678779125214,0.22986698150634766
ppldb_stef_10,0.18712472915649414,0.18712493777275085
ppldb_stef_15,0.23772414028644562,0.23772424459457397
ppldb_stef_20,0.16886672377586365,0.1688668429851532
ppldb_stef_27,0.2497396469116211,0.2497398555278778
ppldb_stef_17,0.21527189016342163,0.21527203917503357
ppldb_stef_16,0.18877728283405304,0.188777357339859
ppldb_stef_22,0.26739972829818726,0.2673998177051544
ppldb_stef_26,0.11878462135791779,0.11878501623868942
ppldb_stef_25,0.10717163980007172,0.10717172920703888
ppldb_stef_23,0.26286375522613525,0.2628638744354248
